,Unnamed: 0,date,open,high,low,close,200_ma,20_ema,100_ma,volume,volume_ma,rsi,relative_vol,atr,prev_close,$_change,ov_ni_%_change,day_o_c_delta%,hofd_o_delta%,lofd_o_delta%,hofd_lofd_delta%
42,241,2009-10-21 13:30:00,4.647454,4.808285,4.5324550000000015,4.543288,2.91661634,4.4293519189265576,3.5703427600000013,93166168,75202809.2,57.27341779396025,1.2388655289754786,0.19875960412792165,4.6699519999999985,-0.022497999999999685,-0.4817608403683739,-2.2413562350482508,3.4606259685410543,-2.4744516029636507,6.085664391593477
43,242,2009-10-22 13:30:00,4.527455000000002,4.71662,4.44329,4.67162,2.92435793,4.45242506950498,3.5859926000000018,94532720,75507318.8,61.062774176546746,1.2519676436981364,0.2174022030959412,4.543288,-0.015832999999998876,-0.34849210527703456,3.1842392690815986,4.17817515579941,-1.858991420124581,6.151522858062373
47,246,2009-10-28 13:30:00,4.254124,4.296624,4.022926,4.0332919999999985,2.952424315,4.39540297686128,3.6368004100000015,130396444,85771985.0,39.66220449841117,1.5202684652803593,0.2429337439483253,4.29329,-0.03916599999999981,-0.9122607603958692,-5.191009947053764,0.9990305877308802,-5.434679384051805,6.803455991981966
49,248,2009-10-30 13:30:00,4.254124,4.282457,3.900794,3.924127,2.9685616449999994,4.341218083099596,3.6576835300000026,163900264,88148583.0,39.57829380715705,1.8593635702572784,0.28565941847093296,4.287457,-0.033332999999999835,-0.7774538613448446,-7.757108161398213,0.6660125562865573,-8.305587707363493,9.784238798562551
51,250,2009-11-03 14:30:00,3.930794,4.066626,3.908293,4.050793,2.985236514999998,4.284583931970418,3.676224990000003,125825708,95345109.0,43.486448712624046,1.3196870748765939,0.25089129788989983,4.00496,-0.07416599999999951,-1.8518537014102392,3.05279289629524,3.455586835636774,-0.5724288782368169,4.051205986859232
54,253,2009-11-06 14:30:00,4.229957,4.374124,4.209958,4.33829,3.01341956,4.274325121194806,3.7190245500000025,79258032,99542335.8,52.081220686985596,0.7962243538191114,0.2203504537973014,4.3041230000000015,-0.07416600000000084,-1.723138488375003,2.5610898645068976,3.408237956083251,-0.47279440429298536,3.899468830805433
56,255,2009-11-10 14:30:00,4.604953,4.681619,4.559954,4.6349540000000005,3.03561517,4.339817103744502,3.7551742000000026,82961520,101644380.0,59.416017453202066,0.8161938712204255,0.21014406776098205,4.6357870000000005,-0.030834000000000476,-0.665129782710044,0.6514941629154606,1.6648595544840599,-0.9771869550025764,2.6681190204988936
58,257,2009-11-12 14:30:00,4.681619,4.765786,4.525788,4.564121,3.05633617,4.392793130276109,3.795999610000003,97978684,104166878.4,56.13930891866328,0.9405934545121206,0.2089864756155525,4.706703,-0.025083999999999662,-0.5329420615662315,-2.5097727944115125,1.7978182333931887,-3.3285707358928622,5.30289973812295
61,260,2009-11-17 14:30:00,4.810785,4.867451,4.750785,4.862451999999998,3.0934399649999995,4.4960470304031785,3.8566373400000025,60363276,102899527.4,63.25673098132947,0.5866234522667011,0.1909579194003112,4.849118,-0.03833299999999973,-0.7905148936363217,1.0739827283904468,1.1778950836505868,-1.247197702661842,2.455720475668766
62,261,2009-11-18 14:30:00,4.851618,4.873285,4.761703,4.845784,3.106031504999999,4.529355313221924,3.8762204800000015,56313188,101056878.4,62.588924199864046,0.5572425043360532,0.17111393955023346,4.862451999999998,-0.010833999999999122,-0.22280939739866065,-0.12024854388783528,0.446593280839503,-1.8532992498585092,2.343321286522916
69,268,2009-11-30 14:30:00,4.052459,4.119125,3.99496,4.100793,3.168630955,4.364171214608507,3.988456840000002,82438244,83828591.2,42.267013767483306,0.9834144033664732,0.21388636509987569,4.063292,-0.01083299999999987,-0.2666064855786853,1.1927079336274726,1.6450752493732956,-1.4188669151248654,3.108041131826114
74,273,2009-12-07 14:30:00,4.229124,4.294124,4.179124,4.213291000000001,3.227639035,4.308445916418547,4.062934420000002,49506024,73894647.2,46.27999683837655,0.6699541289642966,0.2087939587102245,4.234458,-0.005334000000000394,-0.12596653456004034,-0.374380131677361,1.5369613187033626,-1.1822779374641137,2.751772859575361
75,274,2009-12-08 14:30:00,4.131625,4.154126,4.039126,4.07996,3.2388681000000004,4.286685352950114,4.0737843200000015,66080532,74091454.0,42.43328358701685,0.8918779215751388,0.20013671903266825,4.213291000000001,-0.08166600000000113,-1.938294791411301,-1.2504765074274615,0.5446041206547086,-2.238804344537542,2.8471505964408963
80,279,2009-12-15 14:30:00,4.3032900000000005,4.35829,4.259124,4.294124,3.3061174200000005,4.273713969642381,4.124907150000001,38758164,65019440.0,50.21278380196958,0.596101166051261,0.12664930539544764,4.348289,-0.04499899999999979,-1.0348668177299114,-0.2129998210671475,1.2780918785394362,-1.0263310165013417,2.3283191567092274
90,289,2009-12-30 14:30:00,4.473288,4.527455000000002,4.4692050000000005,4.507455,3.4523855300000017,4.3765716309686775,4.21213294,17838008,46523861.2,57.47908073456511,0.3834163274479032,0.08101482178048686,4.521621,-0.04833299999999952,-1.0689308104327964,0.7638005869508079,1.210899007620377,-0.09127514257967774,1.303363797364431
