time,open,high,low,close,Plot,Plot,52 Week High,52 Week Low,VWAP,Plot,Plot,Plot,Volume,Volume MA,RSI
969543000,144.46875,145.5625,143.75,145.1875,NaN,NaN,NaN,NaN,144.83333333333334,144.9246871000002,146.5476558,148.00295105890737,5346602,4382790.25,37.75139334963101
969629400,142.625,145.3125,142.42187,145.28125,NaN,NaN,NaN,NaN,144.33854,144.94749960000019,146.5592183,147.74374143424953,7587398,4536040.25,38.21740628387343
969888600,145.9375,146.0625,143.71875,144.15625,NaN,NaN,NaN,NaN,144.64583333333334,144.9612496000002,146.5845308,147.40207558336863,9715398,4880790.15,34.84616912300058
969975000,144.375,145,142.40625,142.40625,NaN,NaN,NaN,NaN,143.27083333333334,144.9639058500002,146.5904683,146.92628267066686,5281199,4869980.2,30.35978011759302
970061400,143.5625,143.96875,142.125,143.15625,NaN,NaN,NaN,NaN,143.08333333333334,144.9690621000002,146.5867183,146.56723194012716,6049301,4996035.25,34.265857031541145
970147800,143.1875,146.32812,142.89062,146.125,NaN,NaN,NaN,NaN,145.11458000000002,144.9959371000002,146.62343710000002,146.525114612496,6842801,5140745.3,46.95004628457746
970234200,145.46875,145.96875,143.625,143.625,NaN,NaN,NaN,NaN,144.40625,145.0066402500002,146.6465621,146.2489132208297,8311699,5315290.2,39.957695515187886
970493400,144.28125,144.90625,143.14062,143.84375,NaN,NaN,NaN,NaN,143.96354,145.0152340000002,146.7037496,146.01985005694115,5517801,5433535.25,40.788664425059004
970579800,144.53125,145.75,142.28125,142.5,NaN,NaN,NaN,NaN,143.51041666666666,145.0142965000002,146.71593710000002,145.68462624199438,9347199,5728375.2,37.36748111029405
970666200,142.875,144.25,141.75,143.6875,NaN,NaN,NaN,NaN,143.22916666666666,145.0244527500002,146.7246871,145.49442374275682,6149000,5827620.1,41.99750626408375
970752600,143.40625,144.84375,143.3125,144.1875,NaN,NaN,NaN,NaN,144.11458333333334,145.0263277500002,146.7137496,145.36995481487523,4566898,5852025,43.87869472073446
970839000,143.875,144.64062,139.75,141.0625,NaN,NaN,NaN,NaN,141.81770666666668,145.0107027500002,146.65874960000002,144.95972102298234,10014898,6178964.9,36.01638036206319
971098200,141.3125,141.3125,139.375,140,NaN,NaN,NaN,NaN,140.22916666666666,144.97828090000021,146.6071871,144.48736663984116,4508000,6207674.9,33.7988852013421
971184600,140.09375,141.25,137.6875,137.6875,NaN,NaN,NaN,NaN,138.875,144.93531215000021,146.5459371,143.8397602931896,6104699,6275784.85,29.53644477774904
971271000,137.625,138.625,135.125,136.53125,NaN,NaN,NaN,NaN,136.76041666666666,144.8870309000002,146.49999960000002,143.1437116938382,10366000,6566329.75,27.658271452302174
971357400,137.28125,137.59375,132.78125,133.125,NaN,NaN,NaN,NaN,134.5,144.8185934000002,146.43062460000002,142.18954867537744,12336801,7013599.8,23.015232984308028
971443800,132.9375,137.65625,132.875,137.5625,NaN,NaN,NaN,NaN,136.03125,144.7732028000002,146.4262496,141.74887737296055,11776801,7398654.85,37.69028206043968
