,date,open,high,low,close,vwap,volume,volume_ma,rsi,date2,time_of_day
2463,2010-05-27 14:30:00,3.99579338,4.02099312,3.96162705,4.00829325,3.9752023514988184,9109824,10412051.75,57.802026114426795,2010-05-27,9.5
2464,2010-05-27 15:30:00,4.00579328,4.01245988,3.96162705,3.99221008,3.977765825505785,6403186,10449339.65,56.832549259248076,2010-05-27,10.5
2465,2010-05-27 16:30:00,3.99496005,4.006626600000001,3.94746886,3.99579338,3.9783863639657735,4281814,10325864.25,57.0055718302868,2010-05-27,11.5
2466,2010-05-27 17:30:00,3.99496005,4.05162615,3.98829345,4.03862628,3.9845259732632914,5624491,10074021.05,59.11511368563344,2010-05-27,12.5
2467,2010-05-27 18:30:00,4.03829295,4.05829275,4.00579328,4.02237644,3.9896686037078193,5751211,9996001.65,57.953368328456314,2010-05-27,13.5
2468,2010-05-27 19:30:00,4.02245978,4.1132922,4.01829315,4.10245898,4.000334532136122,6801666,9288284.1,61.924642238845294,2010-05-27,14.5
2525,2010-06-10 13:30:00,3.74162925,3.8399616,3.73017103,3.77471225,3.7816149600000006,18162736,10616088.2,55.787218360468934,2010-06-10,8.5
2526,2010-06-10 14:30:00,3.77579558,3.81746183,3.77246228,3.7999620000000003,3.785119974799564,5531511,10677001.75,57.20767317752394,2010-06-10,9.5
2527,2010-06-10 15:30:00,3.7999620000000003,3.80579528,3.7366292999999997,3.77579558,3.7825299789336246,6268485,10806575.8,55.37398582443061,2010-06-10,10.5
2528,2010-06-10 16:30:00,3.77412893,3.78829545,3.72496275,3.76829565,3.779131966978509,5469734,10798164.8,54.787066207994535,2010-06-10,11.5
2529,2010-06-10 17:30:00,3.76762899,3.8032953000000003,3.75746243,3.7932954,3.7796673062189807,3780770,10385948.9,56.44428969447768,2010-06-10,12.5
2530,2010-06-10 18:30:00,3.79579538,3.87496125,3.79579538,3.85412813,3.7914762166281912,9233236,10490028.9,60.26126021565867,2010-06-10,13.5
2531,2010-06-10 19:30:00,3.85746143,3.8832945,3.8332949999999997,3.87496125,3.8005155794191214,6914463,9918129.0,61.50541673520315,2010-06-10,14.5
2574,2010-06-21 13:30:00,4.35912308,4.369956299999999,4.30412363,4.31912348,4.331067803333334,11556911,6923742.3,67.96937048466596,2010-06-21,8.5
2575,2010-06-21 14:30:00,4.31829015,4.33162335,4.28745713,4.31079023,4.322354249257772,8122849,7057515.8,66.79413597659084,2010-06-21,9.5
2576,2010-06-21 15:30:00,4.3099569,4.32162345,4.25745743,4.25754076,4.31279326601673,5547207,7146106.2,59.691649294362875,2010-06-21,10.5
2577,2010-06-21 16:30:00,4.25829075,4.2799572,4.24412423,4.2699573,4.304394727751607,5334731,7239903.0,60.739966569513925,2010-06-21,11.5
2578,2010-06-21 17:30:00,4.27079063,4.27745723,4.22245778,4.24912418,4.294339215432622,6881260,7109385.55,58.01370978752362,2010-06-21,12.5
2579,2010-06-21 18:30:00,4.25162415,4.26070739,4.11495885,4.13079203,4.2671240309393665,10365913,7224504.9,45.51692595656304,2010-06-21,13.5
2580,2010-06-21 19:30:00,4.13079203,4.15495845,4.09162575,4.15495845,4.250995684365373,6582077,6750979.25,47.98137983269865,2010-06-21,14.5
2644,2010-07-06 13:30:00,3.31163355,3.37830788,3.29163375,3.3532498,3.34106381,16090764,11453975.05,53.80640526798681,2010-07-06,8.5
2645,2010-07-06 14:30:00,3.35079983,3.36330803,3.30838358,3.3133002,3.3372244531976603,6946169,11541138.6,50.2110223806516,2010-07-06,9.5
2646,2010-07-06 15:30:00,3.31163355,3.34579988,3.28746713,3.29746703,3.3333248902102204,3892251,11559741.05,48.818707176379405,2010-07-06,10.5
2647,2010-07-06 16:30:00,3.29912534,3.3066336000000005,3.2366342999999995,3.2633007000000003,3.319681184433746,7229001,11570134.4,45.86328965675057,2010-07-06,11.5
2648,2010-07-06 17:30:00,3.26246738,3.26913398,3.1599684,3.2033012999999997,3.2940820027834667,10499681,11665696.3,41.15183481892357,2010-07-06,12.5
2649,2010-07-06 18:30:00,3.20163465,3.22413443,3.13580198,3.17080163,3.2701276482280046,11476165,11319891.0,38.82524025428075,2010-07-06,13.5
2650,2010-07-06 19:30:00,3.17080163,3.22496775,3.16412669,3.22496775,3.261085925374186,8999319,10458875.4,44.46112429814234,2010-07-06,14.5
2777,2010-08-02 13:30:00,4.133292,4.17412493,4.083292500000001,4.16912498,4.142180803333333,12151270,6051106.55,66.17033692865196,2010-08-02,8.5
2778,2010-08-02 14:30:00,4.166625,4.18162485,4.1599584,4.17412493,4.150273237128143,4546263,6147467.7,66.45617125977034,2010-08-02,9.5
2779,2010-08-02 15:30:00,4.17745823,4.20074133,4.16579168,4.16745833,4.154894486640453,3340030,6175735.65,65.65957510522458,2010-08-02,10.5
2780,2010-08-02 16:30:00,4.16745833,4.18579148,4.15495845,4.1732916,4.1566629657336716,2413205,6060833.45,66.04312596156565,2010-08-02,11.5
2781,2010-08-02 17:30:00,4.17004163,4.19912468,4.16245838,4.18745813,4.159987179248417,3241091,5861786.65,67.00690276551742,2010-08-02,12.5
2782,2010-08-02 18:30:00,4.18829145,4.22245778,4.18745813,4.21829115,4.1691200257585965,5824882,5927751.95,69.06486785720475,2010-08-02,13.5
2783,2010-08-02 19:30:00,4.21829115,4.22828272,4.20079133,4.20829125,4.1737262110343005,3748415,5683749.8,67.59229634754061,2010-08-02,14.5
3372,2010-12-01 14:30:00,5.12244878,5.19828135,5.12244878,5.1466152,5.155781776666666,7173957,2532137.8,61.270474691669065,2010-12-01,9.5
