time,open,high,low,close,Plot,Plot,52 Week High,52 Week Low,VWAP,Plot,Plot,Plot,Volume,Volume MA,RSI
1177507800,148.73,149.66,148.0233,149.48,NaN,NaN,NaN,NaN,149.05443333333335,137.72159990000029,142.86150010000003,145.87191732957965,109158944,95902464,75.12786982157412
1177594200,149.49001,149.8,149.10001,149.64999,NaN,NaN,NaN,NaN,149.51666666666668,137.8355998000003,142.95330000000004,146.23173377438158,88749440,92691832.8,75.615984642452
1177680600,149.09,149.74001,148.84,149.53,NaN,NaN,NaN,NaN,149.37000333333333,137.9461998000003,143.04330000000004,146.5458543672976,108191744,91127416.8,74.50451408742404
1177939800,149.64,149.74001,148.21001,148.28999,NaN,NaN,NaN,NaN,148.74667,138.05739975000031,143.12399990000003,146.71196252279307,101012752,89767629.6,64.03002519761579
1178026200,148.42,149.47,147.67,148.67,NaN,NaN,NaN,NaN,148.60333333333332,138.1807497500003,143.19780000000003,146.89844228252707,134434624,92517942.4,65.6249777322819
1178112600,148.89999,149.95,148.75,149.53999,NaN,NaN,NaN,NaN,149.41333,138.31084970000032,143.27420000000004,147.15001825561973,87181808,92752067.2,69.01261200745455
1178199000,149.97,150.39999,149.05,150.35001,NaN,NaN,NaN,NaN,149.93333333333334,138.4458997500003,143.35990010000003,147.45477937413213,87844064,93943944,71.79924882919275
1178285400,150.75,151.12,150.22,150.92,NaN,NaN,NaN,NaN,150.75333333333333,138.58064975000028,143.45750010000003,147.78480038611954,96412256,96422395.2,73.59845495910834
1178544600,150.88,151.2,150.81,150.95,NaN,NaN,NaN,NaN,150.98666666666665,138.7069497500003,143.55280010000004,148.08624796839388,63688656,97049940.8,73.69358563967717
1178631000,150.58,150.92,150.13,150.75,NaN,NaN,NaN,NaN,150.6,138.83654975000027,143.64200010000005,148.33993863807066,81533936,98295034.4,71.83525777207302
1178717400,150.64,152.82001,150.37,151.16,NaN,NaN,NaN,NaN,151.45000333333334,138.97259975000028,143.73640010000005,148.60851591063536,102947872,98114815.2,73.32053755899533
1178803800,150.73,151.02,149.27,149.58,NaN,NaN,NaN,NaN,149.95666666666668,139.0894497000003,143.81350010000003,148.70103820486057,153698560,99977387.2,60.155160709245806
1178890200,149.75,150.92999,149.72,150.86,NaN,NaN,NaN,NaN,150.50333,139.2104497000003,143.89090010000004,148.90665361392146,113413120,101388964.8,65.55167498943769
1179149400,150.86,151.3,149.78999,150.53,NaN,NaN,NaN,NaN,150.53999666666667,139.3289497000003,143.97280010000003,149.06125803164323,108062320,102631740,63.17602633755028
1179235800,150.7,151.66499,150.19,150.57001,NaN,NaN,NaN,NaN,150.8083333333333,139.44824970000028,144.0590002,149.20494869529625,180931808,106256212,63.34945391683118
1179322200,150.8,151.63,150.38,151.60001,NaN,NaN,NaN,NaN,151.20333666666667,139.56634975000028,144.15280030000002,149.4330497719347,114667008,107572149.6,67.58221887681887
1179408600,151.38,151.96001,151.11,151.3,NaN,NaN,NaN,NaN,151.45667,139.6835997000003,144.24440030000002,149.61085455555997,101566000,107483302.4,65.21954038929029
1179495000,152.00999,152.62,151.81,152.62,NaN,NaN,NaN,NaN,152.35,139.81059970000027,144.35440030000004,149.89743983598282,99182256,106235999.2,70.16221132592213
1179754200,152.58,153.23,152.4993,152.53999,NaN,NaN,NaN,NaN,152.75643,139.93289965000028,144.47230020000003,150.14911128017494,174706432,111092855.2,69.51733781803135
1179840600,152.7,153.16,152.38,152.42,NaN,NaN,NaN,NaN,152.6533333333333,140.05289965000028,144.58070020000002,150.36538639634875,82254320,109481896,68.5005028022097
1179927000,152.95,153.5,152.36,152.44,NaN,NaN,NaN,NaN,152.76666666666668,140.17409965000027,144.68000030000002,150.56296864431553,133950624,110721480,68.58299100147721
1180013400,152.53,153.21001,150.74001,151.06,NaN,NaN,NaN,NaN,151.67000666666667,140.28964965000026,144.7685002,150.61030496390453,187770320,115672524,57.411290492594595
1180099800,151.49001,152.02,151.17999,151.69,NaN,NaN,NaN,NaN,151.62999666666667,140.41104965000025,144.86920020000002,150.71313306258028,83309120,114428392.8,60.56909846194788
1180445400,151.94,152.5,151.45,152.24001,NaN,NaN,NaN,NaN,152.0633366666667,140.53734970000028,144.9779003,150.8585499137631,83960816,113575796,63.13875984468573
1180531800,151.46001,153.53999,151.34,153.48,NaN,NaN,NaN,NaN,152.78666333333334,140.66789970000028,145.0960003,151.10821182673806,131273376,113417733.6,68.17433376362867
1180618200,153.66,153.89,153.12,153.32001,NaN,NaN,NaN,NaN,153.44333666666668,140.79944980000027,145.2238005,151.31885927181062,115777808,114847533.6,66.90436561406254
1180704600,153.88,154.39999,153.50999,154.08,NaN,NaN,NaN,NaN,153.99666000000002,140.93429980000028,145.3527005,151.5818250554477,107774432,115844052,69.78382608501968
1180963800,153.53999,154.39,153.48,154.10001,NaN,NaN,NaN,NaN,153.99000333333333,141.06164985000026,145.4830005,151.8216521930241,78047568,114925817.6,69.8581851128658
1181050200,153.74001,153.89999,152.86,153.49001,NaN,NaN,NaN,NaN,153.41666666666666,141.18014995000027,145.6025007,151.9805434127361,127943056,118138537.6,64.63617943791212
1181136600,152.91,152.95,151.75,151.84,NaN,NaN,NaN,NaN,152.17999999999998,141.28919995000027,145.6993007,151.96715832580884,164138128,122268747.2,53.07829321958337
