,Unnamed: 0,date,rsi,relative_vol,ov_ni_%_change,day_o_c_delta%,hofd_o_delta%,y_rsi,y_rel_vol,y_o_c_delta%,y_hofd_o_delta%,tm_rsi,tm_rel_vol,tm_o_c_delta%,tm_hofd_o_delta%
64,263,2009-11-20 14:30:00,40.0467146075589,0.7476869318687825,-12.97811459198087,0.6190174088745061,1.3822197348432752,43.969809388722894,0.7443526689224002,-0.0792559355778023,2.218714527679561,54.96570303216529,0.9737103200350156,-2.0913536265468884,0.22848740661942846
68,267,2009-11-27 14:30:00,41.076706345387294,0.7449573081142572,-7.964092867763969,3.414626200680199,5.616133049402575,42.267013767483306,0.9834144033664732,1.1927079336274726,1.6450752493732956,45.899869241047675,0.5204108266741133,0.4903854279285401,0.8630764700440792
128,327,2010-02-25 14:30:00,52.51464885619322,0.9630488582320954,-4.13645463549128,4.163625735529039,4.314940178524533,52.72002566597328,0.6179123442940991,-0.1761380091448782,0.7633664884930286,52.76065740282134,0.6402012808848089,1.6945624812498168,2.232869325481269
175,374,2010-05-04 13:30:00,44.19160349228473,1.2871632033195586,-3.437142625151822,-3.814832266442922,0.09580943843638852,41.81423361926715,1.259908017239595,0.7170977619378696,3.499908313928999,54.69650402623954,0.8082283650893193,2.479860327788467,3.2222527811522426
187,386,2010-05-20 13:30:00,29.9096727491378,2.109086609536554,-6.190521824489116,-5.605519101173229,1.1085489995675264,33.848485845566586,1.6674614851200278,9.061375162757223,10.288125622102065,36.39704256820967,1.4475749697201117,-0.18604183309020073,2.7614615141821544
188,387,2010-05-21 13:30:00,33.848485845566586,1.6674614851200278,-4.63109405562013,9.061375162757223,10.288125622102065,32.08888719896186,0.9165740081394546,-2.454779260049392,2.261004697463357,29.9096727491378,2.109086609536554,-5.605519101173229,1.1085489995675264
190,389,2010-05-25 13:30:00,32.27385043439364,0.9787836985202268,-7.2847620717771555,8.047623333376194,8.259511166540243,31.506863124813233,1.0397641298518503,-3.5877464222795528,2.716689767374104,32.08888719896186,0.9165740081394546,-2.454779260049392,2.261004697463357
197,396,2010-06-04 13:30:00,37.47620741624178,0.974460937558115,-5.669990053336046,-4.799996263746306,2.1621752053901595,35.26824678772435,0.7289518478039937,-5.029306112131565,1.1050990226424493,44.16178131368276,0.5875886640987078,0.08161745614162652,0.9185393120814289
214,413,2010-06-29 13:30:00,33.199718667635224,1.530290041748009,-4.016176062765723,-5.516577446504361,0.09352128100033029,31.312141829583393,1.155267204800986,-2.5180502903992785,2.9418689847947754,40.29037360378168,0.6564824859577958,-1.5897182077555454,0.7948856000644335
228,427,2010-07-20 13:30:00,50.2264065388282,0.8290980909535784,-4.119007147898062,7.875918159736813,8.162345906540525,45.83839446786215,1.051375538100397,-5.444244907004283,0.10889482855402338,46.196089001198686,0.6471098031095326,0.7376560319826166,1.5444967086809107
244,443,2010-08-11 13:30:00,44.49424409850007,1.1480750788023264,-4.632041257117767,-3.8688020621230677,0.0,42.65975780169354,0.921814119004522,2.9546515856182105,4.006847159536451,56.69597093348578,1.0266100055059066,0.5646275014464766,2.2988491839846565
245,444,2010-08-12 13:30:00,42.65975780169354,0.921814119004522,-4.505687983239726,2.9546515856182105,4.006847159536451,41.464267218409475,0.8743065040229041,-0.022510340181437105,1.9343237883013171,44.49424409850007,1.1480750788023264,-3.8688020621230677,0.0
253,452,2010-08-24 13:30:00,34.82784616466442,1.3461705329225166,-3.454687656070404,-0.984620882343204,1.392895893762616,36.58465383341419,1.2922696758029542,2.991337367983862,4.149074403702389,39.29426986381783,1.1941489025388052,-2.641082665380875,1.4672651376221326
393,592,2011-03-15 13:30:00,39.91472735788229,1.595396892667341,-7.7850567185358575,5.048696459680426,6.75938971955098,34.111845334677376,2.129563653741088,-4.400734710479425,1.0553878795242957,44.10140323289851,1.2633431820713492,0.1927389877093627,1.2207522171382852
441,640,2011-05-23 13:30:00,41.40706389289032,1.368762918612758,-3.774031530549525,0.06087758139580426,1.1083812424551625,41.09048859748889,0.9146690533752015,-1.1096238611754885,0.6874848207392914,48.2466970834459,0.9965709908804128,-1.5689591680211046,0.357663991051105
449,648,2011-06-03 13:30:00,38.414485111754665,0.9913912665739816,-3.5023274295760984,0.49492880715607457,2.8172565989619454,34.360010526006086,1.2121706838026218,-2.8077928960397363,0.4065343091173074,42.711693131523646,0.8650532580722423,-0.4874482050636959,0.7799200528204071
463,662,2011-06-23 13:30:00,43.888664196727845,1.3201634589691569,-3.490655314064532,2.8176381907423846,3.0217962593833145,39.281415558217866,0.9137144371816688,-3.4087892118315146,0.1711099069224651,45.0418019696449,0.7695044902389844,-0.8426063066122502,1.801915881242682
473,672,2011-07-08 13:30:00,63.00430581886289,1.090682421300641,-3.4892841746252365,1.418279633194208,1.4415070208092011,52.28915146633109,1.513964659542507,-1.9633279463198563,0.9281531948969255,68.05034948589491,0.8001288393750937,0.5187781504441834,1.1604942582262805
474,673,2011-07-11 13:30:00,52.28915146633109,1.513964659542507,-3.6680693398889335,-1.9633279463198563,0.9281531948969255,50.05851318978717,1.3667862679729543,-0.6119164958535789,2.381357650990206,63.00430581886289,1.090682421300641,1.418279633194208,1.4415070208092011
492,691,2011-08-04 13:30:00,24.342083321154675,2.213484453570889,-4.135510393780055,-11.071860617677604,0.2503028740748731,23.76894287928545,2.561881167635056,-4.947320885841044,0.7500937449608485,33.74077231301196,2.0265519775525536,1.1565109660458557,1.3992204717569405
