,Unnamed: 0,date,rsi,relative_vol,ov_ni_%_change,day_o_c_delta%,hofd_o_delta%,y_rsi,y_rel_vol,y_o_c_delta%,y_hofd_o_delta%,tm_rsi,tm_rel_vol,tm_o_c_delta%,tm_hofd_o_delta%
73,272,2009-12-04 14:30:00,46.9068457755352,1.626212429357174,4.1249511909410375,-0.02280761269151149,0.01307666922823089,46.27999683837655,0.6699541289642966,-0.00374380131677361,0.015369613187033625,44.505216664534856,1.1055740487923125,-0.03235800864492342,0.015888243787769186
179,378,2010-05-10 13:30:00,44.195362105997,1.2704419611571784,12.730552626713363,0.006508349528744547,0.017941919423791232,43.699914397683045,1.1365005328304858,0.02173906013146674,0.06108505144248303,29.873140667147414,1.679819990381633,-0.039428739397607694,0.03371439621335616
192,391,2010-05-27 13:30:00,41.60009200507819,0.7063784406694122,5.801068943529987,0.03994915866003469,0.0433310564137477,39.344295218050796,0.8751729996580229,-0.030167121135183102,0.0016307543590326778,31.506863124813233,1.0397641298518503,-0.03587746422279553,0.027166897673741038
201,400,2010-06-10 13:30:00,44.595460539993276,0.7032545724446883,5.201496922648682,0.03585765340648509,0.03786239572720751,45.799096510034076,0.5210980674911649,0.04220992066396597,0.045746044071331406,36.932658841926425,0.9075438710671536,-0.03241936374614812,0.0306053353871282
208,407,2010-06-21 13:30:00,50.60613846070997,0.9010404824262328,3.727961999373234,-0.04721844279227722,0.0024851329040267663,45.1732264814533,1.013670110931932,-0.05101265895886991,0.013635427374613523,51.9681484106564,0.5444566996946261,-0.002571386595419328,0.00810933780742872
218,417,2010-07-06 13:30:00,31.846032508630714,1.0462319509078863,4.197271641217838,-0.026183644731201196,0.020647033641120957,43.20286227509643,0.8892586897807925,0.08829511170796847,0.09137553189687186,29.88636568216491,1.1459959799538455,-0.025313166012811954,0.009460488583777129
237,436,2010-08-02 13:30:00,60.914155328668464,0.7654008891148193,4.673476229154547,0.016528769691288928,0.02660732319414629,58.6275329720278,0.6839101512145689,-0.0077829547065564175,0.007982198347044032,53.754660129758996,0.759339968025527,0.03459942757779908,0.0488976707561203
322,521,2010-12-01 14:30:00,57.23006396761528,1.1214631482741142,4.2748110871741964,0.019846952112163647,0.026029151290720587,62.45208648834878,1.0711954013585951,0.03462499154216568,0.036372213322303865,46.728104074009025,0.9537210517817178,0.010629147349656483,0.029144469463265647
395,594,2011-03-17 13:30:00,39.60800096971477,1.112223220914783,4.099601495960061,-0.007661206880005422,0.007661529463928354,41.83833061413989,1.12880957023573,-0.023265385902066976,0.0015663430299067704,34.111845334677376,2.129563653741088,-0.04400734710479425,0.010553878795242957
396,595,2011-03-18 13:30:00,41.83833061413989,1.12880957023573,3.7789572198858346,-0.023265385902066976,0.0015663430299067704,48.79732600180297,0.7683631629517157,0.010847060613775491,0.016916232687649958,39.60800096971477,1.112223220914783,-0.007661206880005422,0.007661529463928354
419,618,2011-04-20 13:30:00,57.51755918878018,1.2303342318156811,3.6534160278180026,0.008216324536531436,0.013455624631426074,60.17644451841653,0.7090042682914606,0.0018077156539976092,0.0030323604335328624,47.89167460801115,1.3650093724619463,0.009720633846703563,0.012461189175187952
493,692,2011-08-05 13:30:00,23.76894287928545,2.561881167635056,3.741733524964426,-0.04947320885841044,0.007500937449608484,17.54952231802241,2.788047278438329,-0.13149264638415165,0.031783539259859134,24.342083321154675,2.213484453570889,-0.11071860617677605,0.002503028740748731
495,694,2011-08-09 13:30:00,29.191629306994802,2.386617345883068,4.80968320643538,0.09078215065992283,0.09078215065992283,25.101564679513245,2.139577964471598,-0.07504401841972698,0.0336134690266981,17.54952231802241,2.788047278438329,-0.13149264638415165,0.031783539259859134
504,703,2011-08-22 13:30:00,31.220962450086546,0.9076001175004286,6.536040722224729,-0.06155027497885468,0.0011995327529752456,37.99982692716903,0.9036393846802212,0.08805539418887876,0.09016217730245817,31.22771983988784,0.894903820234261,-0.011365639790196143,0.07745775203921275
509,708,2011-08-29 13:30:00,47.8904335501755,0.5211538092309834,3.7767446387930392,0.04768724478501447,0.05055582841593044,48.40595612044943,0.7488897138016926,0.01957033588902184,0.041046059548771316,42.02338173823596,0.9016970904415303,0.06689174237802954,0.07860269809786878
515,714,2011-09-07 13:30:00,47.03152798271551,0.6456410235706266,4.562000268202758,0.03574693760465738,0.04032986140136758,45.13454686464549,0.8662305997698332,-0.014547345630440599,0.03466242007192709,40.90492299133686,0.9884290497006386,0.071693094629156,0.07539074969956544
529,728,2011-09-27 13:30:00,46.410438991955964,1.2354911623220404,5.761692898190741,-0.020708933796293107,0.029477303099007857,42.07042473913518,0.7107110610264812,-0.07267204128550266,0.015896980643332777,43.608886271688526,1.2667893117440834,0.037249000767752304,0.04154728356681123
531,730,2011-09-29 13:30:00,43.88400470117468,1.3154739599276877,5.3673346487748805,-0.029246544474471406,0.011621034213706187,39.43264917145292,1.0298064200206924,-0.03436077375527505,0.02728015379744288,42.07042473913518,0.7107110610264812,-0.07267204128550266,0.015896980643332777
538,737,2011-10-10 13:30:00,53.10989314619078,0.5269418076026838,5.443430747562235,0.04524360683876934,0.046596984610287294,53.3393092688659,0.4221088274893995,0.0191659173168798,0.029499954452761334,46.28464137894231,0.8684598831897286,-0.0404928969940307,0.0029735041926480543
