,Unnamed: 0,date,open,high,low,close,200_ma,20_ema,100_ma,volume,volume_ma,rsi,relative_vol,atr,prev_close,$_change,ov_ni_%_change,day_o_c_delta%,hofd_o_delta%,hofd_lofd_delta%
1,200,2009-08-24 13:30:00,3.946627,4.004127,3.847462,3.882461,2.656057675000001,3.5671067071528757,2.879537110000001,94839576,123676897.4,65.94373426767899,0.7668334021451608,0.18364670308704448,3.889128,0.057498999999999974,1.4784548104356547,-1.6258440435338763,1.4569403189103138,4.0719050636497585
2,201,2009-08-25 13:30:00,3.934961,4.019126,3.885794,3.906628,2.6575909950000005,3.5994420683764106,2.8968369400000014,126613924,123022251.2,66.59129196610557,1.0291953103196017,0.17190127731528332,3.882461,0.05249999999999977,1.3522350900627145,-0.720032549242545,2.138903028517946,3.431267843843492
9,208,2009-09-03 13:30:00,3.598297,3.63913,3.512464,3.626630000000001,2.671716275000001,3.6682008049060517,3.0049450300000013,75853884,107693143.4,50.849798560036106,0.7043520284133521,0.1746979024956376,3.535049,0.06324800000000019,1.789168976158469,0.7874002618461129,1.134786817208255,3.606186426394695
10,209,2009-09-04 13:30:00,3.64413,3.783295,3.611631,3.783295,2.676249560000001,3.6791621568197614,3.0196532100000013,68810896,103440165.4,56.83203217230604,0.6652241489938685,0.17393942687172814,3.626630000000001,0.017499999999999627,0.4825416433438102,3.818881324211808,3.818881324211808,4.75308800926783
12,211,2009-09-09 13:30:00,3.903294,4.02246,3.868295,3.980794,2.6935577100000008,3.726124849460167,3.049519580000001,86225036,99806841.2,63.13683096072524,0.8639190957583376,0.15731974011534708,3.890794,0.012500000000000178,0.3212711852645033,1.985502501220767,3.052959884651268,3.9853475497602924
13,212,2009-09-10 13:30:00,3.989127,4.1141260000000015,3.924962,4.104126,2.7029659500000003,3.762124959035389,3.0690377200000016,78853724,97447868.4,66.55474747668782,0.8091888031488228,0.16528080508651027,3.980794,0.00833299999999948,0.20933009846778003,2.8828112015486114,3.1334926163043098,4.819511628392878
14,213,2009-09-11 13:30:00,4.132459,4.175792,4.049126,4.104292,2.71050004,3.7947122962701134,3.0872975300000016,86366456,95984791.4,66.55924177500407,0.8997931311855724,0.15562710381488276,4.104126,0.028332999999999938,0.6903540485842771,-0.6816038586226707,1.0486008451626625,3.1282306354507163
16,215,2009-09-15 13:30:00,4.198291,4.2841239999999985,4.123292,4.237458,2.72372491,3.8699307731372135,3.1260638100000016,108474616,95379301.0,70.14373504588063,1.1372972423020795,0.16290412089587153,4.178292,0.01999900000000032,0.4786405545615367,0.9329272315806587,2.044474763659743,3.9005726492326596
17,216,2009-09-16 13:30:00,4.289957,4.437456,4.246625,4.4341230000000005,2.730304015,3.923663366171765,3.1462886100000014,79447872,95416932.8,74.64490188639105,0.83263913090277,0.17217759067190366,4.237458,0.052499000000000066,1.2389267339050931,3.360546504312286,3.4382395907464764,4.493709710652582
19,218,2009-09-18 13:30:00,4.460789,4.4699550000000015,4.371624,4.415873,2.750112575,4.01215604351022,3.1876723800000013,81915156,96551311.8,73.20334977646289,0.8484105961157951,0.1661197072529459,4.4066230000000015,0.054165999999999485,1.229195236352179,-1.0069070740624524,0.20547934457337794,2.2493014037804198
